"Name", "Stmts", "Miss", "Cover"
"gen_nasm/__init__.py", "8", "0", "100%"
"gen_nasm/core/__init__.py", "9", "0", "100%"
"gen_nasm/core/model/__init__.py", "9", "0", "100%"
"gen_nasm/core/model/project_setup.py", "14", "0", "100%"
"gen_nasm/core/service/__init__.py", "9", "0", "100%"
"gen_nasm/core/service/engine.py", "27", "0", "100%"
"gen_nasm/core/service/iservice.py", "14", "0", "100%"
"gen_nasm/core/service/isubprocessor.py", "14", "0", "100%"
"gen_nasm/engine.py", "57", "0", "100%"
"gen_nasm/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_nasm/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_nasm/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_nasm/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_nasm/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_nasm/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_nasm/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_nasm/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_nasm/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_nasm/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_nasm/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_nasm/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_nasm/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_nasm/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_nasm/infrastructure/command/command.py", "16", "0", "100%"
"gen_nasm/infrastructure/command/gen_nasm_command_definition.py", "24", "0", "100%"
"gen_nasm/infrastructure/command/gen_nasm_command_executor.py", "21", "0", "100%"
"gen_nasm/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_nasm/infrastructure/command/icommand_executor.py", "13", "0", "100%"
"gen_nasm/infrastructure/subprocessor.py", "56", "0", "100%"
"gen_nasm/setup/__init__.py", "9", "0", "100%"
"gen_nasm/setup/bundle.py", "23", "0", "100%"
"gen_nasm/setup/dep_validator.py", "36", "0", "100%"
"gen_nasm/setup/dependencies.py", "19", "0", "100%"
"gen_nasm/setup/factory.py", "48", "0", "100%"
"gen_nasm/setup/keys.py", "27", "0", "100%"
"gen_nasm/setup/opt_validator.py", "34", "0", "100%"
"gen_nasm/setup/options.py", "12", "0", "100%"
"gen_nasm/setup/registry.py", "32", "0", "100%"
"gen_nasm/setup/validator.py", "48", "0", "100%"
"Total", "928", "0", "100%"
